Sample,X,Y,Z
234,1.0718,0.4167,0.0835
235,0.8640,-0.6731,-0.0635
236,1.0640,-0.1990,0.0708
237,0.9673,0.1492,0.0417
238,1.0444,-0.2046,0.0332
239,0.8345,-0.3501,-0.1504
240,1.0737,-0.0049,0.0610
241,1.1255,0.0327,0.0764
242,0.8074,-0.6565,-0.1675
243,1.0564,0.3032,0.2646
244,1.1089,-0.0132,0.1257
245,0.7632,-0.7925,-0.2585
246,1.0220,0.3064,0.1492
247,1.0894,0.1355,0.0806
248,0.8855,-0.7493,-0.0837
249,0.9050,0.0452,0.1714
250,1.1218,0.1309,0.0308
251,0.9158,-0.2646,-0.1235
252,0.9060,-0.3186,-0.0276
253,1.2302,0.0481,0.0723
254,0.9568,-0.0522,-0.0903
255,0.9839,0.0012,-0.1396
256,1.1736,-0.2161,0.1504
257,0.9175,-0.2144,-0.0178
258,0.9917,0.1367,0.0300
259,1.1765,0.2007,0.1135
260,0.9146,-0.3914,-0.1494
261,0.9304,-0.0837,0.0642
262,1.1580,0.3633,0.0745
263,0.8306,-0.2817,-0.0049
264,0.9880,-0.0862,-0.0496
265,1.0981,0.1094,0.1597
266,0.8530,-0.0300,-0.0803
267,0.8999,-0.1372,0.0830
268,1.1521,0.0962,0.0818
269,0.8064,-0.2395,0.0266
270,0.9429,0.2153,0.0764
271,1.0544,0.1206,0.1335
272,0.8218,-0.3306,-0.0225
273,0.9858,0.1509,0.0293
274,0.9812,0.3760,0.1226
275,0.8806,-0.1240,-0.0103
276,1.0085,0.1145,-0.0410
277,1.0457,0.2388,-0.0503
278,0.9929,0.1877,0.0530
279,0.9187,-0.1277,0.0205
280,1.0701,0.1787,0.0557
281,1.0720,0.5571,-0.0071
282,0.8828,-0.3301,-0.0115
283,1.0857,0.0540,-0.0203
284,1.0261,0.4629,0.0378
285,1.0125,-0.1326,-0.1118
286,0.9907,0.0857,-0.0068
287,1.0574,0.3550,0.0701
288,1.0210,-0.0696,-0.0305
