Sample,X,Y,Z
299,0.9050,-0.6448,0.1396
300,1.4890,0.5542,-0.4497
301,0.5601,0.1946,0.5728
302,1.0591,-0.4810,0.1587
303,1.3669,0.2336,-0.2632
304,0.5913,-0.0884,0.2817
305,1.1685,0.0625,0.4380
306,1.3530,0.2083,-0.4045
307,0.5515,-0.7297,0.2542
308,1.1091,0.4673,0.4812
309,1.3425,0.3228,0.0085
310,0.6787,-0.9624,-0.0430
311,0.9438,0.4304,0.1851
312,1.1794,0.5181,0.3250
313,0.8098,-0.8821,0.1765
314,0.8879,0.0842,0.1223
315,1.2212,0.4851,0.0176
316,0.8757,-0.1895,0.5535
317,0.7458,-0.1536,0.3137
318,1.2183,-0.1270,0.0190
319,1.2144,0.3542,0.0200
320,0.4949,-0.0215,0.4114
321,1.2603,-0.0864,0.4644
322,1.0466,0.0271,-0.0552
323,0.6228,0.0254,-0.1094
324,1.3687,0.2859,0.6082
325,0.8396,-0.3691,-0.0667
326,0.7083,-0.0408,-0.0300
327,1.5581,0.7244,0.4927
328,0.5957,-0.6001,-0.3030
329,0.9451,-0.1023,0.0645
330,1.3757,0.8374,0.6003
331,0.5544,-0.6575,-0.4692
332,1.0574,0.0042,0.0840
333,1.2241,0.5769,0.4683
334,0.6216,-0.6079,-0.5784
335,1.0515,0.2893,0.1843
336,0.9419,0.0784,0.2817
337,0.8982,-0.3264,-0.3965
338,1.0964,0.4839,0.1492
339,0.8386,-0.3499,0.3269
340,1.1431,0.0603,-0.2117
341,0.9558,0.3364,0.1184
342,0.8689,-0.4827,0.3691
343,1.3472,0.3486,-0.0564
344,0.7847,-0.1746,0.1340
345,0.7373,-0.1387,0.2739
346,1.5056,0.4434,0.1824
347,0.7222,-0.5562,-0.1858
348,0.6157,-0.0039,0.4146
349,1.3989,0.7273,0.2034
350,0.6509,-0.8208,-0.3176
351,1.0366,0.5125,0.4082
352,1.1411,0.1853,0.4019
353,0.8940,-0.6372,-0.2812
354,1.2026,0.6785,0.1433
355,0.9028,-0.3628,0.3521
356,1.1587,-0.0830,-0.3010
357,1.0984,0.1914,0.3147
358,0.9021,-0.2402,0.2576
359,1.2434,0.1731,-0.3286
360,1.0310,0.0134,0.1301
361,0.9932,-0.1733,0.4038
362,1.0613,0.2642,-0.1152
363,0.8933,-0.2483,-0.0505
364,0.8669,0.3813,0.3494
365,1.0359,0.1309,0.0386
366,0.7917,-0.6077,-0.1890
367,0.8982,0.6763,0.2429
368,0.9944,-0.0198,0.0752
369,0.8816,-0.4460,-0.4438
370,0.9861,0.4756,0.3049
371,0.9304,-0.2336,0.4285
372,1.0515,-0.1956,-0.3000
373,1.0154,0.2769,0.0913
374,1.0789,-0.1257,0.4031
375,0.9839,0.1824,-0.0872
376,0.8484,-0.3135,0.1455
377,1.2378,0.3076,0.3735
378,1.1091,0.1270,-0.3154
379,0.8579,-0.5688,0.0552
380,1.0339,0.6509,0.4841
381,1.0884,-0.1138,-0.2610
